elev_m,ave_nbp_deg_k,overall_ave_mw,storage_ave_vap_mw,storage_shi,storage_lfl,storage_temp_deg_k,storage_vapor_mol_composition,storage_shi_times_vapor_mol_composition,storage_total_vapor_moles,storage_shi_times_total_vapor_moles,storage_component_vapor_moles,storage_shi_times_component_vapor_moles,storage_total_moles,storage_shi_times_total_moles,storage_component_total_moles,storage_shi_times_component_total_moles,discharge_ave_vap_mw,discharge_shi,discharge_lfl,discharge_temp_deg_k,discharge_vapor_mol_composition,discharge_shi_times_vapor_mol_composition,discharge_total_vapor_moles,discharge_shi_times_total_vapor_moles,discharge_component_vapor_moles,discharge_shi_times_component_vapor_moles,discharge_total_moles,discharge_shi_times_total_moles,discharge_component_total_moles,discharge_shi_times_component_total_moles,discharge_diameter_in,release_orientation_rad,press_psia,area_conc_high_m2
3,283.4926291,44.05256,44.05256,0.002,30000,294.15,1,0.002,0,0,0,0,1816.012509,3.632025017,1816.012509,3.632025017,44.05256,0.002,30000,283.4926288,1,0.002,0,0,0,0,1816.012509,3.632025017,1816.012509,3.632025017,2,0.01,64.6959,27576.02723
3,283.4926291,44.05256,44.05256,0.002,30000,294.15,1,0.002,0,0,0,0,1816.012509,3.632025017,1816.012509,3.632025017,44.05256,0.002,30000,283.4926288,1,0.002,0,0,0,0,1816.012509,3.632025017,1816.012509,3.632025017,2,0.01,64.6959,27576.02723
0,283.4926291,44.05256,44.05256,0.002,30000,294.25,1,0.002,0,0,0,0,1816.012509,3.632025017,1816.012509,3.632025017,44.05256,0.002,30000,283.4926288,1,0.002,0,0,0,0,1816.012509,3.632025017,1816.012509,3.632025017,3,0.01,64.6959,25909.98091
0,239.1593155,70.906,70.906,0.05,,373.15,1,0.05,1.410317886,0.070515894,1.410317886,0.070515894,1.410317886,0.070515894,1.410317886,0.070515894,70.906,0.05,,264.4097574,1,0.05,1.410317886,0.070515894,1.410317886,0.070515894,1.410317886,0.070515894,1.410317886,0.070515894,0.2,0.01,64.6959,25586.22046
1,280.2234025,45.08368,45.08368,0.002857143,28000,293.15,1,0.002857143,0,0,0,0,443.6195093,1.267484312,443.6195093,1.267484312,45.08368,0.002857143,28000,280.2234046,1,0.002857143,0,0,0,0,443.6195093,1.267484312,443.6195093,1.267484312,0.5,0.01,246.6959,22681.65514
2,279.894787,41.72315109,44.49598453,0.001179472,28717.31008,280.15,0.412815175,0.000486904,1.216113798,0.001434372,0.502030231,0.000592131,143.8050541,0.169614025,59.94858234,0.07070767,44.50612926,0.001179668,28708.57304,279.9925073,0.412883669,0.000487065,1.400086083,0.001651636,0.578072679,0.000681934,143.8050541,0.169642167,59.94858234,0.070719402,6,0.01,214.6959,21115.6574
1,280.2234025,45.08368,45.08368,0.002857143,28000,300.15,1,0.002857143,0,0,0,0,687.6102394,1.964600684,687.6102394,1.964600684,45.08368,0.002857143,28000,280.2234046,1,0.002857143,0,0,0,0,687.6102394,1.964600684,687.6102394,1.964600684,0.6,0.01,114.6959,20035.90353
1,280.2234025,45.08368,45.08368,0.002857143,28000,300.15,1,0.002857143,0,0,0,0,687.6102394,1.964600684,687.6102394,1.964600684,45.08368,0.002857143,28000,280.2234046,1,0.002857143,0,0,0,0,687.6102394,1.964600684,687.6102394,1.964600684,0.6,0.01,114.6959,20035.90353
1,305.4358074,28.15952765,44.36552718,0.00278134,28763.11536,300.15,0.973468959,0.002707548,0,0,0,0,355.119593,0.987708288,133.0858528,0.37015699,44.36717761,0.002781514,28761.31392,300.0489088,0.973529932,0.002707887,0,0,0,0,355.119593,0.987770152,133.0858528,0.370180175,0.5,0.01,105.6959,19655.19121
4,305.4358074,28.15952765,44.17009847,0.002760712,28978.03325,311.15,0.966249149,0.002667535,0,0,0,0,710.2391861,1.960765741,266.1717056,0.734823383,44.27556694,0.002771844,28861.64958,305.435809,0.970145518,0.002689092,0,0,0,0,710.2391861,1.968672466,266.1717056,0.737786535,0.5,0.01,114.6959,17817.3163
1.5,280.2234025,45.08368,45.08368,0.002857143,28000,300.15,1,0.002857143,0,0,0,0,66.5429264,0.190122647,66.5429264,0.190122647,45.08368,0.002857143,28000,280.2234046,1,0.002857143,0,0,0,0,66.5429264,0.190122647,66.5429264,0.190122647,0.6,0.01,114.6959,17753.24854
1,266.7769947,31.0571,31.0571,0.002,49000,303.15,1,0.002,0,0,0,0,112.6956477,0.225391295,112.6956477,0.225391295,31.0571,0.002,49000,266.7769928,1,0.002,0,0,0,0,112.6956477,0.225391295,112.6956477,0.225391295,0.6,0.01,157.6959,17689.62917
1,266.7769947,31.0571,31.0571,0.002,49000,305.15,1,0.002,0,0,0,0,128.7950259,0.257590052,128.7950259,0.257590052,31.0571,0.002,49000,266.7769928,1,0.002,0,0,0,0,128.7950259,0.257590052,128.7950259,0.257590052,0.6,0.01,168.6959,17368.9751
1.5,280.2234025,45.08368,45.08368,0.002857143,28000,280.22,1,0.002857143,0,0,0,0,88.72390186,0.253496862,88.72390186,0.253496862,45.08368,0.002857143,28000,280.2197421,1,0.002857143,0,0,0,0,88.72390186,0.253496862,88.72390186,0.253496862,8,0.01,234.6959,16592.11388
1,280.2234025,45.08368,45.08368,0.002857143,28000,305.35,1,0.002857143,0,0,0,0,687.6102394,1.964600684,687.6102394,1.964600684,45.08368,0.002857143,28000,280.2234046,1,0.002857143,0,0,0,0,687.6102394,1.964600684,687.6102394,1.964600684,0.6,0.01,98.6959,16591.28691
1,373.5203096,37.3214985,40.65259647,0.003232699,148482.7191,293.15,0.808174832,0.002612586,0,0,0,0,1897.128511,6.132846061,1307.598299,4.227072142,40.65959801,0.003233699,148436.8089,293.0129214,0.808424794,0.002614203,0,0,0,0,1897.128511,6.134742899,1307.598299,4.22837954,1,0.01,118.6959,15893.90997
1,373.6944127,45.32104183,45.65025032,0.003946384,121630.324,293.15,0.986596071,0.003893487,0,0,0,0,1074.106917,4.238838656,1047.085608,4.132202187,45.65025742,0.003946385,121630.2928,293.1483688,0.986596325,0.003893489,0,0,0,0,1074.106917,4.238839746,1047.085608,4.13220325,2.6,0.01,15.6959,15436.26001
1,266.7769947,31.0571,31.0571,0.002,49000,298.15,1,0.002,0,0,0,0,2414.906736,4.829813473,2414.906736,4.829813473,31.0571,0.002,49000,266.7769928,1,0.002,0,0,0,0,2414.906736,4.829813473,2414.906736,4.829813473,0.6,0.01,104.6959,15288.31555
1,266.7769947,31.0571,31.0571,0.002,49000,298.15,1,0.002,0,0,0,0,2414.906736,4.829813473,2414.906736,4.829813473,31.0571,0.002,49000,266.7769928,1,0.002,0,0,0,0,2414.906736,4.829813473,2414.906736,4.829813473,0.6,0.01,104.6959,15288.31555
0.5,350.4502589,53.0626,53.0626,0.013333333,30500,298.15,1,0.013333333,0,0,0,0,1413.424898,18.84566531,1413.424898,18.84566531,53.0626,0.013333333,30500,298.1204021,1,0.013333333,0,0,0,0,1413.424898,18.84566531,1413.424898,18.84566531,0.5,0.01,29.6959,14650.00213
0.5,350.4502589,53.0626,53.0626,0.013333333,30500,298.15,1,0.013333333,0,0,0,0,1413.424898,18.84566531,1413.424898,18.84566531,53.0626,0.013333333,30500,298.1204021,1,0.013333333,0,0,0,0,1413.424898,18.84566531,1413.424898,18.84566531,0.5,0.01,29.6959,14650.00213
