,Unnamed: 0,study_id,elev_m,ave_nbp_deg_c,overall_ave_mw,storage_ave_vap_mw,storage_key_component,storage_shi,storage_lfl,storage_temp_deg_c,storage_vapor_mol_composition,storage_shi_times_vapor_mol_composition,storage_total_vapor_moles,storage_shi_times_total_vapor_moles,storage_component_vapor_moles,storage_shi_times_component_vapor_moles,storage_total_moles,storage_shi_times_total_moles,storage_component_total_moles,storage_shi_times_component_total_moles,discharge_ave_vap_mw,discharge_key_component,discharge_shi,discharge_lfl,discharge_temp_deg_c,discharge_vapor_mol_composition,discharge_shi_times_vapor_mol_composition,discharge_total_vapor_moles,discharge_shi_times_total_vapor_moles,discharge_component_vapor_moles,discharge_shi_times_component_vapor_moles,discharge_total_moles,discharge_shi_times_total_moles,discharge_component_total_moles,discharge_shi_times_component_total_moles,release_duration_sec,weather,hazard_type,conc_low_ppm,area_conc_low_m2,conc_high_ppm,area_conc_high_m2,log_elev_m,log_ave_nbp_deg_k,log_overall_ave_mw,log_storage_ave_vap_mw,log_storage_shi,log_storage_lfl,log_storage_temp_deg_k,log_storage_vapor_mol_composition,log_storage_shi_times_total_vapor_moles,log_storage_component_vapor_moles,log_storage_shi_times_component_vapor_moles,log_storage_total_moles,log_storage_shi_times_total_moles,log_storage_component_total_moles,log_storage_shi_times_component_total_moles,log_discharge_ave_vap_mw,log_discharge_shi,log_discharge_lfl,log_discharge_temp_deg_k,log_discharge_vapor_mol_composition,log_discharge_shi_times_vapor_mol_composition,log_discharge_total_vapor_moles,log_discharge_shi_times_total_vapor_moles,log_discharge_component_vapor_moles,log_discharge_shi_times_component_vapor_moles,log_discharge_total_moles,log_discharge_shi_times_total_moles,log_discharge_component_total_moles,log_discharge_shi_times_component_total_moles,log_release_duration_sec,log_conc_low_ppm,log_area_conc_low_m2,log_conc_high_ppm,log_area_conc_high_m2,log_storage_key_component,log_discharge_key_component,log_weather,log_hazard_type,catastrophic_release,discharge_diameter,release_orientation,pressure,log_discharge_diam,log_press_psia
1118,1118,2898,1,10.34262908,44.05256,44.05256,75-21-8,0.002,30000,10,1,0.002,0,0,0,0,4028.065707,8.056131413,4028.065707,8.056131413,44.05256,75-21-8,0.002,30000,9.893045452,1,0.002,0,0,0,0,4028.065707,8.056131413,4028.065707,8.056131413,3600,night,flash_fire,15000,145.4842566,30000,8.032774576,0,2.452541772,1.643971151,1.643971151,-2.698970004,4.477121255,2.452016566,0,0,0,0,3.605096546,0.906126542,3.605096546,0.906126542,1.643971151,-2.698970004,4.477121255,2.451852488,0,-2.698970004,0,0,0,0,3.605096546,0.906126542,3.605096546,0.906126542,3.556302501,4.176091259,2.162815999,4.477121255,0.90486558,,,,,FALSE,0.197,0,52.5,-0.705533774,1.827342775
1119,1119,2897,0,10.34262908,44.05256,44.05256,75-21-8,0.002,30000,15,1,0.002,0,0,0,0,1.974913603,0.003949827,1.974913603,0.003949827,44.05256,75-21-8,0.002,30000,10.34262884,1,0.002,0,0,0,0,1.974913603,0.003949827,1.974913603,0.003949827,3600,night,inhalation,500,3474.767746,5000,486.714605,0,2.452541772,1.643971151,1.643971151,-2.698970004,4.477121255,2.459618624,0,0,0,0,0.295548101,-2.403421926,0.295548101,-2.403421926,1.643971151,-2.698970004,4.477121255,2.452541771,0,-2.698970004,0,0,0,0,0.295548101,-2.403421926,0.295548101,-2.403421926,3.556302501,2.698970004,3.540925782,3.698970004,2.687274378,,,,,FALSE,0.48,0,14.3,-0.318758763,1.462336593
1120,1120,2897,0,10.34262908,44.05256,44.05256,75-21-8,0.002,30000,15,1,0.002,0,0,0,0,1.974913603,0.003949827,1.974913603,0.003949827,44.05256,75-21-8,0.002,30000,10.34262884,1,0.002,0,0,0,0,1.974913603,0.003949827,1.974913603,0.003949827,3600,night,flash_fire,15000,153.034562,30000,76.4953559,0,2.452541772,1.643971151,1.643971151,-2.698970004,4.477121255,2.459618624,0,0,0,0,0.295548101,-2.403421926,0.295548101,-2.403421926,1.643971151,-2.698970004,4.477121255,2.452541771,0,-2.698970004,0,0,0,0,0.295548101,-2.403421926,0.295548101,-2.403421926,3.556302501,4.176091259,2.184789525,4.477121255,1.88363507,,,,,FALSE,0.48,0,14.3,-0.318758763,1.462336593
1121,1121,2895,0,10.34262908,44.05256,44.05256,75-21-8,0.002,30000,10,1,0.002,0,0,0,0,4028.065707,8.056131413,4028.065707,8.056131413,44.05256,75-21-8,0.002,30000,9.893045452,1,0.002,0,0,0,0,4028.065707,8.056131413,4028.065707,8.056131413,3600,night,inhalation,500,11875.94537,5000,1179.563595,0,2.452541772,1.643971151,1.643971151,-2.698970004,4.477121255,2.452016566,0,0,0,0,3.605096546,0.906126542,3.605096546,0.906126542,1.643971151,-2.698970004,4.477121255,2.451852488,0,-2.698970004,0,0,0,0,3.605096546,0.906126542,3.605096546,0.906126542,3.556302501,2.698970004,4.074668191,3.698970004,3.07172136,,,,,FALSE,0.2,0,52.5,-0.698970004,1.827342775
1122,1122,2895,0,10.34262908,44.05256,44.05256,75-21-8,0.002,30000,10,1,0.002,0,0,0,0,4028.065707,8.056131413,4028.065707,8.056131413,44.05256,75-21-8,0.002,30000,9.893045452,1,0.002,0,0,0,0,4028.065707,8.056131413,4028.065707,8.056131413,3600,night,flash_fire,15000,321.8218675,30000,102.6041445,0,2.452541772,1.643971151,1.643971151,-2.698970004,4.477121255,2.452016566,0,0,0,0,3.605096546,0.906126542,3.605096546,0.906126542,1.643971151,-2.698970004,4.477121255,2.451852488,0,-2.698970004,0,0,0,0,3.605096546,0.906126542,3.605096546,0.906126542,3.556302501,4.176091259,2.507615551,4.477121255,2.011164904,,,,,FALSE,0.2,0,52.5,-0.698970004,1.827342775
1123,1123,2894,3,99.55783274,18.02999729,18.52617281,74-89-5,4.24E-05,,65,0.0212231,9.01E-07,0,0,0,0,2384.91439,0.101230552,1.107637223,4.70E-05,18.52618767,74-89-5,4.24E-05,,64.99837973,0.021223723,9.01E-07,0,0,0,0,2384.91439,0.101233526,1.107637223,4.70E-05,3600,night,inhalation,23558.54319,0.063800572,235585.4319,0.004717532,0.477121255,2.57136852,1.255995661,1.267785711,-4.372634143,,2.529109392,-1.67319118,0,0,0,3.377472794,-0.994688395,0.044397542,-4.327902142,1.267786059,-4.372634143,,2.529107311,-1.673178431,-6.045275209,0,0,0,0,3.377472794,-0.994675636,0.044397542,-4.327902142,3.556302501,4.372148431,-1.195175428,5.372148431,-2.326285145,,,,,FALSE,0.7,0,2.9,-0.15490196,1.245411485
1124,1124,2893,3,-193.8990162,30.07612153,30.07612153,124-40-3,0.000424424,,35,0.148548479,6.30E-05,299.2407113,0.127005007,44.45175245,0.018866401,299.2407113,0.127005007,44.45175245,0.018866401,30.07612153,124-40-3,0.000424424,,33.98326882,0.148548479,6.30E-05,299.2407113,0.127005007,44.45175245,0.018866401,299.2407113,0.127005007,44.45175245,0.018866401,3600,night,inhalation,2356.133182,3.214804998,23561.33182,0.142869217,0.477121255,1.899004662,1.478221831,1.478221831,-3.372200066,,2.488762172,-0.828131791,-0.896179157,1.647888887,-1.724310939,2.476020678,-0.896179157,1.647888887,-1.724310939,1.478221831,-3.372200066,,2.487326862,-0.828131791,-4.200659451,2.476020678,-0.896179157,1.647888887,-1.724310939,2.476020678,-0.896179157,1.647888887,-1.724310939,3.556302501,3.372199836,0.507154635,4.372199836,-0.845061335,,,,,FALSE,2,0,2.9,0.301029996,1.245411485
1125,1125,2892,3,99.55783274,18.02999729,18.93677843,74-89-5,7.72E-05,,35,0.038584788,2.98E-06,0,0,0,0,732.1132546,0.056496869,0.340018868,2.62E-05,18.93680335,74-89-5,7.72E-05,,34.99873757,0.03858585,2.98E-06,0,0,0,0,732.1132546,0.056498424,0.340018868,2.62E-05,3600,night,inhalation,12958.11815,0.499616116,129581.1815,0.005166373,0.477121255,2.57136852,1.255995661,1.277306098,-4.1123827,,2.488762172,-1.413583882,0,0,0,2.86457827,-1.24797562,-0.468496983,-4.581698709,1.277306669,-4.1123827,,2.488760393,-1.413571928,-5.525783736,0,0,0,0,2.86457827,-1.247963666,-0.468496983,-4.581698709,3.556302501,4.112541935,-0.301363561,5.112541935,-2.286814242,,,,,FALSE,10,0,2.9,1,1.245411485
1126,1126,2891,3,99.55783274,18.02999729,18.93677843,74-89-5,7.72E-05,,35,0.038584788,2.98E-06,0,0,0,0,732.1132546,0.056496869,0.340018868,2.62E-05,18.93680305,74-89-5,7.72E-05,,34.99875295,0.038585837,2.98E-06,0,0,0,0,732.1132546,0.056498405,0.340018868,2.62E-05,10,night,inhalation,12958.1225,76.33529325,129581.225,68.20456645,0.477121255,2.57136852,1.255995661,1.277306098,-4.1123827,,2.488762172,-1.413583882,0,0,0,2.86457827,-1.24797562,-0.468496983,-4.581698709,1.277306662,-4.1123827,,2.488760415,-1.413572075,-5.525783736,0,0,0,0,2.86457827,-1.247963813,-0.468496983,-4.581698709,1,4.112542081,1.882725378,5.112542081,1.833813453,,,,,TRUE,,0,2.9,0,1.245411485
1127,1127,2890,1,-252.762987,2.01588,2.01588,1333-74-0,2.50E-06,40000,30,1,2.50E-06,9.92122547,2.48E-05,9.92122547,2.48E-05,9.92122547,2.48E-05,9.92122547,2.48E-05,2.01588,1333-74-0,2.50E-06,40000,-223.0299051,1,2.50E-06,9.92122547,2.48E-05,9.92122547,2.48E-05,9.92122547,2.48E-05,9.92122547,2.48E-05,10,night,inhalation,399430.6931,20.76425575,,,0,1.3093536,0.304464676,0.304464676,-5.602059991,4.602059991,2.481657573,0,-4.605548319,0.99656532,-4.605548319,0.99656532,-4.605548319,0.99656532,-4.605548319,0.304464676,-5.602059991,4.602059991,1.700011885,0,-5.602059991,0.99656532,-4.605548319,0.99656532,-4.605548319,0.99656532,-4.605548319,0.99656532,-4.605548319,1,5.601441434,1.317316369,,,,,,,TRUE,2,6,6000,0.301029996,3.779213675
1128,1128,2890,1,-252.762987,2.01588,2.01588,1333-74-0,2.50E-06,40000,30,1,2.50E-06,9.92122547,2.48E-05,9.92122547,2.48E-05,9.92122547,2.48E-05,9.92122547,2.48E-05,2.01588,1333-74-0,2.50E-06,40000,-223.0299051,1,2.50E-06,9.92122547,2.48E-05,9.92122547,2.48E-05,9.92122547,2.48E-05,9.92122547,2.48E-05,10,night,flash_fire,20000,415.5104197,40000,241.4759185,0,1.3093536,0.304464676,0.304464676,-5.602059991,4.602059991,2.481657573,0,-4.605548319,0.99656532,-4.605548319,0.99656532,-4.605548319,0.99656532,-4.605548319,0.304464676,-5.602059991,4.602059991,1.700011885,0,-5.602059991,0.99656532,-4.605548319,0.99656532,-4.605548319,0.99656532,-4.605548319,0.99656532,-4.605548319,1,4.301029996,2.618581919,4.602059991,2.382873827,,,,,TRUE,2,6,6000,0.301029996,3.779213675
1129,1129,2889,1,10.34262908,44.05256,44.05256,75-21-8,0.002,30000,25,1,0.002,0.023608423,4.72E-05,0.023608423,4.72E-05,0.023608423,4.72E-05,0.023608423,4.72E-05,44.05256,75-21-8,0.002,30000,23.33404107,1,0.002,0.023608423,4.72E-05,0.023608423,4.72E-05,0.023608423,4.72E-05,0.023608423,4.72E-05,3600,night,inhalation,500,332.0964728,5000,7.486399144,0,2.452541772,1.643971151,1.643971151,-2.698970004,4.477121255,2.474434814,0,-4.326058001,-1.626933022,-4.326058001,-1.626933022,-4.326058001,-1.626933022,-4.326058001,1.643971151,-2.698970004,4.477121255,2.472001321,0,-2.698970004,-1.626933022,-4.326058001,-1.626933022,-4.326058001,-1.626933022,-4.326058001,-1.626933022,-4.326058001,3.556302501,2.698970004,2.521264263,3.698970004,0.874272978,,,,,FALSE,0.07401575,0,0.471372649,-1.130675856,1.180907494
1130,1130,2889,1,10.34262908,44.05256,44.05256,75-21-8,0.002,30000,25,1,0.002,0.023608423,4.72E-05,0.023608423,4.72E-05,0.023608423,4.72E-05,0.023608423,4.72E-05,44.05256,75-21-8,0.002,30000,23.33404107,1,0.002,0.023608423,4.72E-05,0.023608423,4.72E-05,0.023608423,4.72E-05,0.023608423,4.72E-05,3600,night,flash_fire,15000,1.31688861,30000,0.447565174,0,2.452541772,1.643971151,1.643971151,-2.698970004,4.477121255,2.474434814,0,-4.326058001,-1.626933022,-4.326058001,-1.626933022,-4.326058001,-1.626933022,-4.326058001,1.643971151,-2.698970004,4.477121255,2.472001321,0,-2.698970004,-1.626933022,-4.326058001,-1.626933022,-4.326058001,-1.626933022,-4.326058001,-1.626933022,-4.326058001,3.556302501,4.176091259,0.119549041,4.477121255,-0.349143714,,,,,FALSE,0.07401575,0,0.471372649,-1.130675856,1.180907494
1131,1131,2888,1,100.4719507,42.09838869,43.81107477,64-18-6,0.003683743,130302.2603,20,0.920935665,0.00339249,0,0,0,0,57.17746107,0.210627053,49.16066983,0.181095257,43.81360666,64-18-6,0.003684104,130289.4723,19.89443959,0.921026056,0.003393156,0,0,0,0,57.17746107,0.210647726,49.16066983,0.181113031,3600,night,inhalation,271.4364033,75.51610159,2714.364033,0.695187445,0,2.572432384,1.624265474,1.641583907,-2.433710676,5.114951949,2.467089899,-0.035770708,0,0,0,1.757224867,-0.676485849,1.691617792,-0.742092924,1.641609005,-2.433668118,5.114909325,2.466933485,-0.035728083,-2.469396173,0,0,0,0,1.757224867,-0.676443225,1.691617792,-0.742050301,3.556302501,2.433668092,1.878039562,3.433668092,-0.15789808,,,,,FALSE,1.6,0,72.5,0.204119983,1.940496065
1132,1132,2888,1,100.4719507,42.09838869,43.81107477,64-18-6,0.003683743,130302.2603,20,0.920935665,0.00339249,0,0,0,0,57.17746107,0.210627053,49.16066983,0.181095257,43.81360666,64-18-6,0.003684104,130289.4723,19.89443959,0.921026056,0.003393156,0,0,0,0,57.17746107,0.210647726,49.16066983,0.181113031,3600,night,flash_fire,65144.73613,0.046978152,130289.4723,0.040780007,0,2.572432384,1.624265474,1.641583907,-2.433710676,5.114951949,2.467089899,-0.035770708,0,0,0,1.757224867,-0.676485849,1.691617792,-0.742092924,1.641609005,-2.433668118,5.114909325,2.466933485,-0.035728083,-2.469396173,0,0,0,0,1.757224867,-0.676443225,1.691617792,-0.742050301,3.556302501,4.813879329,-1.328104071,5.114909325,-1.389552704,,,,,FALSE,1.6,0,72.5,0.204119983,1.940496065
1133,1133,2887,1,100.4719507,42.09838869,43.81107477,64-18-6,0.003683743,130302.2603,20,0.920935665,0.00339249,0,0,0,0,9.739090088,0.035876302,8.373582585,0.030846123,43.81360629,64-18-6,0.003684104,130289.4741,19.89445477,0.921026043,0.003393156,0,0,0,0,9.739090088,0.035879822,8.373582585,0.030849151,3600,night,inhalation,271.4364072,28.9982054,2714.364072,0.630491855,0,2.572432384,1.624265474,1.641583907,-2.433710676,5.114951949,2.467089899,-0.035770708,0,0,0,0.988518383,-1.445192329,0.922911308,-1.510799414,1.641609001,-2.433668118,5.114909331,2.466933508,-0.035728089,-2.469396173,0,0,0,0,0.988518383,-1.44514972,0.922911308,-1.510756784,3.556302501,2.433668098,1.462371122,3.433668098,-0.200320519,,,,,FALSE,1.6,0,72.5,0.204119983,1.940496065
1134,1134,2887,1,100.4719507,42.09838869,43.81107477,64-18-6,0.003683743,130302.2603,20,0.920935665,0.00339249,0,0,0,0,9.739090088,0.035876302,8.373582585,0.030846123,43.81360629,64-18-6,0.003684104,130289.4741,19.89445477,0.921026043,0.003393156,0,0,0,0,9.739090088,0.035879822,8.373582585,0.030849151,3600,night,flash_fire,65144.73705,0.046260991,130289.4741,0.040777057,0,2.572432384,1.624265474,1.641583907,-2.433710676,5.114951949,2.467089899,-0.035770708,0,0,0,0.988518383,-1.445192329,0.922911308,-1.510799414,1.641609001,-2.433668118,5.114909331,2.466933508,-0.035728089,-2.469396173,0,0,0,0,0.988518383,-1.44514972,0.922911308,-1.510756784,3.556302501,4.813879335,-1.334785068,5.114909331,-1.389584122,,,,,FALSE,1.6,0,72.5,0.204119983,1.940496065
