study_id,elev_m,ave_nbp_deg_c,overall_ave_mw,storage_ave_vap_mw,storage_key_component,storage_shi,storage_lfl,storage_temp_deg_c,storage_vapor_mol_composition,storage_shi_times_vapor_mol_composition,storage_total_vapor_moles,storage_shi_times_total_vapor_moles,storage_component_vapor_moles,storage_shi_times_component_vapor_moles,storage_total_moles,storage_shi_times_total_moles,storage_component_total_moles,storage_shi_times_component_total_moles,discharge_ave_vap_mw,discharge_key_component,discharge_shi,discharge_lfl,discharge_temp_deg_c,discharge_vapor_mol_composition,discharge_shi_times_vapor_mol_composition,discharge_total_vapor_moles,discharge_shi_times_total_vapor_moles,discharge_component_vapor_moles,discharge_shi_times_component_vapor_moles,discharge_total_moles,discharge_shi_times_total_moles,discharge_component_total_moles,discharge_shi_times_component_total_moles,release_duration_sec,weather,hazard_type,conc_low_ppm,area_conc_low_m2,conc_high_ppm,area_conc_high_m2
4066,0,10.34262908,44.05256,44.05256,75-21-8,0.002,30000,25,1,0.002,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,44.05256,75-21-8,0.002,30000,21.52572699,1,0.002,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,3600,night,flash_fire,15000,18.6397497,30000,4.128399083
4065,0,74.25258718,42.22136332,34.48324524,64-19-7,0.000348643,67147.1831,116,0.087160766,3.04E-05,0,0,0,0,191.7432096,0.06684994,69.6837159,0.024294744,34.62723939,64-19-7,0.000369206,66891.5182,75.68048751,0.092301552,3.41E-05,25.58939007,0.009447762,2.361940429,0.000872043,191.7432096,0.070792784,69.6837159,0.025727661,10,night,inhalation,2708.513491,44384.26182,27085.13491,1994.466886
4065,0,74.25258718,42.22136332,34.48324524,64-19-7,0.000348643,67147.1831,116,0.087160766,3.04E-05,0,0,0,0,191.7432096,0.06684994,69.6837159,0.024294744,34.62723939,64-19-7,0.000369206,66891.5182,75.68048751,0.092301552,3.41E-05,25.58939007,0.009447762,2.361940429,0.000872043,191.7432096,0.070792784,69.6837159,0.025727661,10,night,flash_fire,33445.7591,1497.532274,66891.5182,861.0447405
4064,0,69.38747352,134.9698,134.9698,7791-25-5,0.066666667,,25,1,0.066666667,0,0,0,0,0.001481813,9.88E-05,0.001481813,9.88E-05,134.9698,7791-25-5,0.066666667,,24.99790591,1,0.066666667,0,0,0,0,0.001481813,9.88E-05,0.001481813,9.88E-05,10,night,inhalation,15,3.607803758,150,0.700102759
4063,4,-252.5844526,3.435864244,3.435864244,630-08-0,9.11E-05,41519.2362,40,0.045525225,4.15E-06,29104.75878,2.650001397,1325.000698,0.12064191,29104.75878,2.650001397,1325.000698,0.12064191,3.435864244,630-08-0,9.11E-05,41519.2362,-113.6546894,0.045525225,4.15E-06,29104.75878,2.650001397,1325.000698,0.12064191,29104.75878,2.650001397,1325.000698,0.12064191,3600,night,inhalation,10982.92205,499.2924284,109829.2205,9.007411664
4063,4,-252.5844526,3.435864244,3.435864244,630-08-0,9.11E-05,41519.2362,40,0.045525225,4.15E-06,29104.75878,2.650001397,1325.000698,0.12064191,29104.75878,2.650001397,1325.000698,0.12064191,3.435864244,630-08-0,9.11E-05,41519.2362,-113.6546894,0.045525225,4.15E-06,29104.75878,2.650001397,1325.000698,0.12064191,29104.75878,2.650001397,1325.000698,0.12064191,3600,night,flash_fire,20759.6181,181.3768897,41519.2362,53.87999904
4062,4,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,23.5,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-121.5844393,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600,night,inhalation,939.0936339,11018.3663,9390.936339,48.37649532
4062,4,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,23.5,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-121.5844393,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600,night,flash_fire,32288.45645,5.8153965,64576.91291,1.412352378
4061,6,-252.5844526,3.435864244,3.435864244,630-08-0,9.11E-05,41519.2362,40,0.045525225,4.15E-06,29104.75878,2.650001397,1325.000698,0.12064191,29104.75878,2.650001397,1325.000698,0.12064191,3.435864244,630-08-0,9.11E-05,41519.2362,-113.6546894,0.045525225,4.15E-06,29104.75878,2.650001397,1325.000698,0.12064191,29104.75878,2.650001397,1325.000698,0.12064191,3600,night,inhalation,10982.92205,143.9922865,109829.2205,2.211464397
4061,6,-252.5844526,3.435864244,3.435864244,630-08-0,9.11E-05,41519.2362,40,0.045525225,4.15E-06,29104.75878,2.650001397,1325.000698,0.12064191,29104.75878,2.650001397,1325.000698,0.12064191,3.435864244,630-08-0,9.11E-05,41519.2362,-113.6546894,0.045525225,4.15E-06,29104.75878,2.650001397,1325.000698,0.12064191,29104.75878,2.650001397,1325.000698,0.12064191,3600,night,flash_fire,20759.6181,55.25970546,41519.2362,16.59598133
4060,6,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,23.5,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-121.5844393,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600,night,inhalation,939.0936339,7614.506221,9390.936339,56.3584575
4060,6,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,23.5,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-121.5844393,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600,night,flash_fire,32288.45645,5.835686218,64576.91291,1.416010288
4059,6,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,40,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-113.6529323,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,inhalation,10176.54343,158.5855608,101765.4343,2.551503956
4059,6,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,40,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-113.6529323,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,flash_fire,20812.14959,54.02879224,41624.29917,16.15327464
4058,4,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,71,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-95.26655947,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600,night,inhalation,939.0936339,8676.717612,9390.936339,42.11204356
4058,4,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,71,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-95.26655947,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600,night,flash_fire,32288.45645,4.997146869,64576.91291,1.196480384
4057,2,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,71,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-95.26655947,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600,night,inhalation,939.0936339,12002.06387,9390.936339,49.65587563
4057,2,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,71,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-95.26655947,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600,night,flash_fire,32288.45645,5.00371813,64576.91291,1.192643225
4056,2,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,71,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-96.85109716,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,inhalation,10176.54343,157.2815884,101765.4343,2.381071455
4056,2,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,71,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-96.85109716,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,flash_fire,20812.14959,49.68637382,41624.29917,14.78271982
4055,6,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,71,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-96.85109716,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,inhalation,10176.54343,146.3203488,101765.4343,2.320680787
4055,6,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,71,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-96.85109716,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,flash_fire,20812.14959,49.73717689,41624.29917,14.78580314
4054,6,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,40,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-113.6529323,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,inhalation,10176.54343,158.5855608,101765.4343,2.551503956
4054,6,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,40,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-113.6529323,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,flash_fire,20812.14959,54.02879224,41624.29917,16.15327464
4053,1,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,40,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-113.6529323,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,inhalation,10176.54343,200.0717968,101765.4343,2.630504035
4053,1,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,40,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-113.6529323,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,flash_fire,20812.14959,61.59409411,41624.29917,18.73873951
4052,1,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,71,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-96.85109716,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,inhalation,10176.54343,59.95467556,101765.4343,0.818436811
4052,1,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,71,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-96.85109716,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,flash_fire,20812.14959,22.5986104,41624.29917,5.530503889
4048,0,73.74368809,41.78731952,33.77443416,64-19-7,0.000247421,68434.7276,25,0.061855248,1.53E-05,0,0,0,0,85.02579349,0.021037166,29.582695,0.00731938,33.77430281,64-19-7,0.000247402,68434.97077,24.98089792,0.061850559,1.53E-05,0,0,0,0,85.02579349,0.021035571,29.582695,0.007318825,3600,night,inhalation,4042.000681,213.4181013,,
4047,0,73.74368809,41.78731952,33.77443416,64-19-7,0.000247421,68434.7276,25,0.061855248,1.53E-05,0,0,0,0,2149.972395,0.531948303,748.0315679,0.185078713,33.77430249,64-19-7,0.000247402,68434.97136,24.98085132,0.061850547,1.53E-05,0,0,0,0,2149.972395,0.531907876,748.0315679,0.185064647,3600,night,inhalation,4042.001428,218.0042604,,
4046,0,73.74368809,41.78731952,33.77443416,64-19-7,0.000247421,68434.7276,25,0.061855248,1.53E-05,0,0,0,0,23930.70461,5.920958678,8326.117365,2.060056219,33.77430189,64-19-7,0.000247402,68434.97247,24.98076418,0.061850526,1.53E-05,0,0,0,0,23930.70461,5.92050665,8326.117365,2.059898947,3600,night,inhalation,4042.002826,221.0764128,,
4044,3,64.53476094,32.04186,32.04186,67-56-1,0.0002,71800,23,1,0.0002,0,0,0,0,312091.745,62.418349,312091.745,62.418349,32.04186,67-56-1,0.0002,71800,22.99216978,1,0.0002,0,0,0,0,312091.745,62.418349,312091.745,62.418349,3600,night,inhalation,5000,837.70384,50000,0.397674501
4044,3,64.53476094,32.04186,32.04186,67-56-1,0.0002,71800,23,1,0.0002,0,0,0,0,312091.745,62.418349,312091.745,62.418349,32.04186,67-56-1,0.0002,71800,22.99216978,1,0.0002,0,0,0,0,312091.745,62.418349,312091.745,62.418349,3600,night,flash_fire,35900,0.473016698,71800,0.31560913
4043,3,-189.3911664,30.02763,28.41192048,67-56-1,1.98E-05,725792.6584,23,0.09892626,1.96E-06,183297.0227,3.626577776,18132.88888,0.358763775,333026.6158,6.5890155,166513.3079,3.29450775,29.13676744,67-56-1,5.58E-05,257478.8664,35.43715015,0.278857786,1.56E-05,229870.6181,12.82024234,64101.21168,3.575024396,333026.6158,18.57341296,166513.3079,9.286706482,3600,night,inhalation,17930.2865,1.489193643,179302.865,0.004306781
4043,3,-189.3911664,30.02763,28.41192048,67-56-1,1.98E-05,725792.6584,23,0.09892626,1.96E-06,183297.0227,3.626577776,18132.88888,0.358763775,333026.6158,6.5890155,166513.3079,3.29450775,29.13676744,67-56-1,5.58E-05,257478.8664,35.43715015,0.278857786,1.56E-05,229870.6181,12.82024234,64101.21168,3.575024396,333026.6158,18.57341296,166513.3079,9.286706482,3600,night,flash_fire,128739.4332,0.011940572,257478.8664,0.005459416
