,log_elev_m,log_ave_nbp_deg_k,log_overall_ave_mw,log_storage_ave_vap_mw,log_storage_shi,log_storage_lfl,log_storage_temp_deg_k,log_storage_vapor_mol_composition,log_storage_shi_times_vapor_mol_composition,log_storage_total_vapor_moles,log_storage_shi_times_total_vapor_moles,log_storage_component_vapor_moles,log_storage_shi_times_component_vapor_moles,log_storage_total_moles,log_storage_shi_times_total_moles,log_storage_component_total_moles,log_storage_shi_times_component_total_moles,log_discharge_ave_vap_mw,log_discharge_shi,log_discharge_lfl,log_discharge_temp_deg_k,log_discharge_vapor_mol_composition,log_discharge_shi_times_vapor_mol_composition,log_discharge_total_vapor_moles,log_discharge_shi_times_total_vapor_moles,log_discharge_component_vapor_moles,log_discharge_shi_times_component_vapor_moles,log_discharge_total_moles,log_discharge_shi_times_total_moles,log_discharge_component_total_moles,log_discharge_shi_times_component_total_moles,log_release_duration_sec,log_discharge_diameter_in,log_release_orientation,log_press_psia,log_conc_low_ppm,log_area_conc_low_m2,log_conc_high_ppm,log_area_conc_high_m2
38,-0.3854782678235379,0.07798224868876866,-0.29771305780968366,-0.31123059946350623,0.47289145582956854,-0.09781897140382824,0.29133575588732186,0.5371451183426593,0.5866677984026489,,,,,0.02055006089217899,0.22453064658372088,0.20304453954050322,0.3754616947052842,-0.32897386634004433,0.4751113133680494,-0.09074268639974219,-0.46311327052042184,0.5320338144079361,0.5894570448307497,,,,,0.02055006089217899,0.2226354872569855,0.20003526102046762,0.3724326955598075,-1.5796671053785776,,0.3276693775800751,0.9702555672131367,-0.4751116613487429,1.5889857949461565,-0.4751116613487429,1.8127013256463549
39,,0.15299647748367098,0.2182926815701735,0.20960160215605406,0.47289145582956854,-0.6832202614114322,-0.61651912868199,0.5371451183426593,0.5866677984026489,,,,,0.4807956792643519,0.6557390581342784,0.6551861026078967,0.7813106343112703,0.19810497123991225,0.4751113133680494,-0.6789770714335159,-0.20646877859430968,0.5320338144079361,0.5894570448307497,,,,,0.4807956792643519,0.6549629549394202,0.6533120481503786,0.7809676655073895,0.6323514026132043,0.6661344821626445,,-0.040749320272146006,-0.4751116613487429,1.58182337743776,-0.4751116613487429,1.7889807405532108
44,-0.3854782678235379,0.13867947084668542,0.25244671902369625,0.24407509956810544,0.7359519384320442,-0.7655411549397362,-0.5128964807951818,0.5371451183426593,0.7697706049346139,,,,,0.010384858598964227,0.3291963978916274,0.19305832724367308,0.4739720276290594,0.23299192885650766,0.7426262238866701,-0.7616963633220317,-0.25545118842709585,0.5320338144079361,0.7796930991481571,,,,,0.010384858598964227,0.32757286325416346,0.19002397562835321,0.4715949994939071,-1.5796671053785776,,0.3276693775800751,0.5346007324078969,-0.7426217403989627,1.5651399719792687,-0.7426217403989627,1.7709658151522822
46,,0.15299647748367098,0.2182926815701735,0.20960160215605406,0.47289145582956854,-0.6832202614114322,-0.636068215358859,0.5371451183426593,0.5866677984026489,,,,,0.19775548886585698,0.39055606400383086,0.3771297149114839,0.5317231167988387,0.19810497123991225,0.4751113133680494,-0.6789770714335159,-0.20646877859430968,0.5320338144079361,0.5894570448307497,,,,,0.19775548886585698,0.38909176770396314,0.3745575244544611,0.5297283027404827,-1.5796671053785776,,,-0.6700955122737996,-0.4751116613487429,1.526570624193924,-0.4751116613487429,1.7371223884280211
51,-0.3854782678235379,-0.05387736055324024,-1.1846289285274834,-1.2064422421720544,-0.337373782263636,1.2371283392185133,-0.2915856565003536,0.5371451183426593,0.022684042034521665,,,,,0.22585583437191176,0.06516238232353164,0.40473526645324215,0.22546591696925322,-1.2349222899582977,-0.34887422227930526,1.2506652054520562,-0.914241499813269,0.5320338144079361,0.0035018290550021453,,,,,0.22585583437191176,0.06285363636775605,0.4022323872228995,0.22144420065540996,-1.5796671053785776,,0.3276693775800751,0.9702555672131367,0.34885947911707166,1.4511474386933239,0.34885947911707094,1.712701769183831
52,-0.3854782678235379,0.31577386004566976,-0.5873193607202288,0.1387102812570101,0.24939262744947138,-0.6649016546277268,0.11857084525130462,0.4078846231453432,0.36913211846483474,-1.7755179515270925,-1.5669040903332305,-1.586326902207489,-1.3062568518667321,0.3710108996661227,0.45586395043578637,0.11689989235859642,0.2068258406796209,0.1305636466130266,0.251481964900066,-0.6664114470565463,0.3924892329995456,0.40138064236305976,0.3686441657857742,-0.16122694532055307,0.0394163494379014,0.04344438087500111,0.2375454965958792,0.3710108996661227,0.456133048237548,0.11367432433030475,0.2041586007960061,-1.5796671053785776,,,-0.8287787535841626,-0.2514865010388855,1.5409839751208998,-0.2514865010388855,1.7069202084620145
53,-0.3854782678235379,0.3338861352179566,-0.660803680809166,0.04229157919422742,0.16367879396847154,-0.526234974542578,0.1859313304854416,0.2834397410484006,0.24981100660152863,0.10624814574706198,0.31141717434409494,0.2928894071734248,0.4792044419536543,0.6171172598546227,0.649236666447373,0.29811377267257066,0.33446759629229705,0.026569611932563145,0.15862732117572237,-0.5179778077952305,0.5433357605149673,0.2617478601109932,0.23658160448498652,0.22617736399341876,0.3984847986367274,0.4096579386092438,0.5589472488936181,0.6171172598546227,0.6475724716646943,0.29534319125510716,0.3303440151723564,-1.5796671053785776,,,-1.0490343739505166,-0.15863320742571052,1.5376357073884004,-0.15863320742571052,1.7019985516203668
59,-0.3854782678235379,0.2753198786365637,-0.57470829783296,0.11583895466598355,0.6269831220461999,-0.5892521983163422,0.6234007008713082,0.3789365406007293,0.6180755459762064,,,,,0.0846696957558714,0.3514932285052028,-0.1547496506440903,0.11725492899018644,0.1006065223676958,0.6295096727813433,-0.5808736080928126,0.429271504066306,0.36193231687222505,0.6188134748228087,-0.050929688333108625,0.2695602580312023,0.1477741517393872,0.4538077351447858,0.0846696957558714,0.34894218755177103,-0.15865726855007162,0.1115858979682991,-1.5796671053785776,,0.3276693775800751,0.9702555672131367,-0.6295072963470457,1.6958064729076776,-0.6295072963470457,1.685856358972988
60,-0.3854782678235379,0.12095707452376554,0.6523191023240658,0.6476876911867366,0.47289145582956854,-1.1670129862331637,0.7066607368794483,0.5371451183426593,0.5866677984026489,,,,,-0.19936604666793062,0.018489194385017463,-0.012999261088402145,0.18153759060668648,0.641445275177006,0.4751113133680494,-1.1651111487356491,-0.3160844582229332,0.5320338144079361,0.5894570448307497,,,,,-0.19936604666793062,0.01605932389697907,-0.016550976183761185,0.17722514341750834,-1.5796671053785776,,0.3276693775800751,0.9702555672131367,-0.4751116613487429,1.4560204097109404,-0.4751116613487429,1.6857311995413145
61,,0.4369596046238714,1.4129959258791667,1.4154795091795318,0.8496434333597633,-0.1994275365897031,0.6234007008713082,0.5371451183426593,0.8489053787863674,,,,,0.03622017935880522,0.40275315214554347,0.21843873684326234,0.5432028912095345,1.418445655861313,0.8582428676007982,-0.1928429941313853,0.7650478008468262,0.5320338144079361,0.8619107746824196,,,,,0.03622017935880522,0.40132050927800783,0.2154681096320838,0.5412840537507766,-1.5796671053785776,-0.6787316047565983,0.3276693775800751,0.8552487582188023,-0.8582364222115639,1.2639192956840384,-0.8582364222115639,1.6854361425216484
63,-0.3854782678235379,0.12095707452376554,0.6523191023240658,0.6476876911867366,0.47289145582956854,-1.1670129862331637,-0.636068215358859,0.5371451183426593,0.5866677984026489,,,,,-0.19613170936190366,0.02151947443458467,-0.009821874348238382,0.18438965914682406,0.641445275177006,0.4751113133680494,-1.1651111487356491,-0.3160844582229332,0.5320338144079361,0.5894570448307497,,,,,-0.19613170936190366,0.019097468017329543,-0.013365611752144136,0.18009608780500566,-1.5796671053785776,-0.815608122850786,,1.3117631783540942,-0.4751116613487429,1.3804727841889728,-0.4751116613487429,1.6629386047845462
