elev_m,ave_nbp_deg_c,overall_ave_mw,storage_ave_vap_mw,storage_shi,storage_temp_deg_c,storage_vapor_mol_composition,storage_shi_times_vapor_mol_composition,storage_total_vapor_moles,storage_shi_times_total_vapor_moles,storage_component_vapor_moles,storage_shi_times_component_vapor_moles,storage_total_moles,storage_shi_times_total_moles,storage_component_total_moles,storage_shi_times_component_total_moles,discharge_ave_vap_mw,discharge_shi,discharge_temp_deg_c,discharge_vapor_mol_composition,discharge_shi_times_vapor_mol_composition,discharge_total_vapor_moles,discharge_shi_times_total_vapor_moles,discharge_component_vapor_moles,discharge_shi_times_component_vapor_moles,discharge_total_moles,discharge_shi_times_total_moles,discharge_component_total_moles,discharge_shi_times_component_total_moles,release_duration_sec,conc_low_ppm,area_conc_low_m2,conc_high_ppm,catastrophic_release_01,discharge_diameter,release_orientation,pressure_psig,area_conc_high_m2
0.3,251.0845401,170.5511508,78.45792835,0.00541797,210,0.273376191,0.001481144,0,0,0,0,107.4641895,0.582237744,27.06896525,0.146658839,78.45792496,0.005417969,209.9999387,0.273376151,0.001481144,0,0,0,0,107.4641895,0.582237659,27.06896525,0.146658818,3600,184.5710043,10.25128143,1845.710043,0,12,0,0.01,1.429245132
0.3,251.0845401,170.5511508,78.45792835,0.00541797,210,0.273376191,0.001481144,0,0,0,0,107.4641895,0.582237744,27.06896525,0.146658839,78.45792496,0.005417969,209.9999387,0.273376151,0.001481144,0,0,0,0,107.4641895,0.582237659,27.06896525,0.146658818,3600,184.5710043,9.841644357,1845.710043,0,12,0,0.01,1.429245132
5,353.8281016,342.4152636,228.7766385,0.003964651,100,0.109606179,0.00043455,0,0,0,0,2.650864699,0.010509752,2.438192416,0.009666581,228.7766303,0.003964648,99.99997909,0.109606121,0.00043455,0,0,0,0,2.650864699,0.010509747,2.438192416,0.009666576,3600,252.2291751,2.609011052,2522.291751,0,2,0,0.01,1.451599673
4,101.0779016,29.05558663,31.70963393,0.001917629,20,0.479407244,0.000919325,0,0,0,0,11320.87176,21.7092317,3573.379331,6.852415742,31.71174289,0.001917942,19.97343575,0.479485622,0.000919626,0,0,0,0,11320.87176,21.71278096,3573.379331,6.853536049,3600,521.3920675,14.6929961,5213.920675,0,4,0,29,1.453348346
1,100.2526953,31.38591604,31.38591604,0.00190938,145,0.477345075,0.000911433,3186.142468,6.083557665,1520.889416,2.903956291,3186.142468,6.083557665,1520.889416,2.903956291,31.38156303,0.001908759,100.2549647,0.477189668,0.00091084,3073.578612,5.866719833,1466.679958,2.799538091,3186.142468,6.08157707,1520.889416,2.903010864,3600,523.9006974,202.7790191,5239.006974,0,0.28,0,29,1.496308788
3,64.53476094,32.04186,32.04186,0.0002,23,1,0.0002,0,0,0,0,312091.745,62.418349,312091.745,62.418349,32.04186,0.0002,22.98412113,1,0.0002,0,0,0,0,312091.745,62.418349,312091.745,62.418349,3600,5000,684.8807792,50000,0,0.8,0,15.1,1.503611245
4,-33.40243422,17.03052,17.03052,0.000666667,-10,1,0.000666667,170.2825281,0.113521685,170.2825281,0.113521685,170.2825281,0.113521685,170.2825281,0.113521685,17.03052,0.000666667,-10.43156408,1,0.000666667,170.2825281,0.113521685,170.2825281,0.113521685,170.2825281,0.113521685,170.2825281,0.113521685,3600,1500,21.60408905,15000,0,20,0,14.5,1.534476548
4,102.7435088,37.26098842,37.76842165,0.00273069,20,0.682672495,0.001864167,0,0,0,0,5403.553922,14.75543056,2624.730446,7.167325133,37.77053443,0.002731035,19.96677386,0.682758844,0.001864639,0,0,0,0,5403.553922,14.75729691,2624.730446,7.168231698,3600,366.1614965,34.90821956,3661.614965,0,4,0,0.1,1.581215631
1,100.0290546,18.70519818,18.65984775,9.20E-05,110,0.023011713,2.12E-06,0,0,0,0,316.4895631,0.029131868,7.79538125,0.00071754,18.6943275,9.70E-05,100.0290554,0.024242675,2.35E-06,1.68618888,0.000163511,0.040877729,3.96E-06,316.4895631,0.030690214,7.79538125,0.000755924,3600,10312.39344,16.19645346,103123.9344,0,0.27,0,29,1.604707287
2,-252.5714779,3.528740859,3.528740859,9.83E-05,40,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,9.83E-05,-113.6529323,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,10176.54343,124.3737542,101765.4343,0,0.4,0,834,1.613506546
6,-80.62906776,39.89115076,43.9403261,6.60E-05,-15.3611,0.00659922,4.35E-07,0,0,0,0,917.6546504,0.060558052,14.13290508,0.000932662,43.96193974,4.78E-05,-80.85382737,0.004783752,2.29E-07,0,0,0,0,917.6546504,0.043898326,14.13290508,0.000676083,3600,20904.09196,50.82208108,209040.9196,0,0.527688,0,980,1.639273658
