CompositionID,HazardStudy,ChemicalID,ChemicalName,CASNumber,Contribution
2417,1098,250,ACETIC ACID,64-19-7,50.0
2418,1098,472,N-BUTYRIC ACID,107-92-6,25.0
2419,1098,422,PROPIONIC ACID,79-09-4,25.0
2432,1105,24,CARBON MONOXIDE,630-08-0,33.0
2434,1105,48,METHANOL,67-56-1,2.0
2435,1105,326,METHYL FORMATE,107-31-3,62.0
2436,1106,24,CARBON MONOXIDE,630-08-0,33.0
2438,1106,48,METHANOL,67-56-1,2.0
2439,1106,326,METHYL FORMATE,107-31-3,62.0
2451,1109,17,AMMONIA,7664-41-7,100.0
2452,1045,17,AMMONIA,7664-41-7,44.0
2453,1110,1575,FORMAMIDE,75-12-7,42.0
2454,1110,48,METHANOL,67-56-1,46.0
2455,1110,326,METHYL FORMATE,107-31-3,8.0
2456,1110,17,AMMONIA,7664-41-7,4.0
2457,1111,250,ACETIC ACID,64-19-7,100.0
2459,1112,48,METHANOL,67-56-1,100.0
2471,1113,24,CARBON MONOXIDE,630-08-0,64.0
2472,1113,36,HYDROGEN,1333-74-0,28.0
2473,1113,47,METHANE,74-82-8,3.0
2474,1113,70,NITROGEN,7727-37-9,3.0
2475,1113,253,ARGON,7440-37-1,2.0
2481,1116,1575,FORMAMIDE,75-12-7,1.0
2482,1116,48,METHANOL,67-56-1,99.0
2483,1117,1575,FORMAMIDE,75-12-7,1.0
2484,1117,48,METHANOL,67-56-1,99.0
2502,1123,250,ACETIC ACID,64-19-7,20774.43777
2503,1123,349,ISOPROPYL ACETATE,108-21-4,13596.08948
2504,1123,99,WATER,7732-18-5,2640.586282
2505,1124,250,ACETIC ACID,64-19-7,20774.43777
2506,1124,349,ISOPROPYL ACETATE,108-21-4,13596.08948
2507,1124,99,WATER,7732-18-5,2640.586282
2508,1125,17,AMMONIA,7664-41-7,29.4
2509,1125,99,WATER,7732-18-5,70.6
2510,1126,17,AMMONIA,7664-41-7,100.0
2511,1127,349,ISOPROPYL ACETATE,108-21-4,85.0
2512,1127,250,ACETIC ACID,64-19-7,15.0
2513,1121,17,AMMONIA,7664-41-7,70.0
2514,1121,1575,FORMAMIDE,75-12-7,595.0
2515,1121,48,METHANOL,67-56-1,105.0
2516,1128,24,CARBON MONOXIDE,630-08-0,20.0
2517,1128,22,CARBON DIOXIDE,124-38-9,10.0
2518,1128,36,HYDROGEN,1333-74-0,70.0
2519,1129,24,CARBON MONOXIDE,630-08-0,20.0
2520,1129,22,CARBON DIOXIDE,124-38-9,10.0
2521,1129,36,HYDROGEN,1333-74-0,70.0
2522,1130,24,CARBON MONOXIDE,630-08-0,20.0
2523,1130,22,CARBON DIOXIDE,124-38-9,10.0
2524,1130,36,HYDROGEN,1333-74-0,70.0
2525,1131,354,ISOBUTYL ISOBUTYRATE,97-85-8,100.0
2526,1132,5,1-OCTANOL,111-87-5,100.0
2527,1133,24,CARBON MONOXIDE,630-08-0,20.0
2528,1133,22,CARBON DIOXIDE,124-38-9,10.0
2529,1133,36,HYDROGEN,1333-74-0,70.0
2541,1137,48,METHANOL,67-56-1,100.0
2542,1138,48,METHANOL,67-56-1,100.0
2543,1105,70,NITROGEN,7727-37-9,2.0
2544,1105,47,METHANE,74-82-8,1.0
2545,1106,47,METHANE,74-82-8,1.0
2546,1106,70,NITROGEN,7727-37-9,2.0
2547,1139,24,CARBON MONOXIDE,630-08-0,33.0
2548,1139,48,METHANOL,67-56-1,2.0
2549,1139,326,METHYL FORMATE,107-31-3,62.0
2550,1139,70,NITROGEN,7727-37-9,2.0
2551,1139,47,METHANE,74-82-8,1.0
2552,1140,24,CARBON MONOXIDE,630-08-0,33.0
2553,1140,48,METHANOL,67-56-1,2.0
2554,1140,326,METHYL FORMATE,107-31-3,62.0
2555,1140,47,METHANE,74-82-8,1.0
2556,1140,70,NITROGEN,7727-37-9,2.0
2557,1141,24,CARBON MONOXIDE,630-08-0,1.0
2558,1141,48,METHANOL,67-56-1,84.0
2559,1141,326,METHYL FORMATE,107-31-3,15.0
2562,1142,24,CARBON MONOXIDE,630-08-0,1.0
2563,1142,48,METHANOL,67-56-1,84.0
2564,1142,326,METHYL FORMATE,107-31-3,15.0
2567,1143,326,METHYL FORMATE,107-31-3,100.0
2568,1144,326,METHYL FORMATE,107-31-3,100.0
2570,1145,24,CARBON MONOXIDE,630-08-0,100.0
2571,1146,24,CARBON MONOXIDE,630-08-0,100.0
2573,1147,17,AMMONIA,7664-41-7,100.0
2574,1148,17,AMMONIA,7664-41-7,100.0
2576,1149,326,METHYL FORMATE,107-31-3,100.0
2577,1150,326,METHYL FORMATE,107-31-3,100.0
2578,1151,24,CARBON MONOXIDE,630-08-0,33.0
2579,1151,47,METHANE,74-82-8,1.0
2580,1151,48,METHANOL,67-56-1,2.0
2581,1151,326,METHYL FORMATE,107-31-3,62.0
2582,1151,70,NITROGEN,7727-37-9,2.0
2583,1152,24,CARBON MONOXIDE,630-08-0,33.0
2584,1152,47,METHANE,74-82-8,1.0
