,study_id,elev_m,ave_nbp_deg_c,overall_ave_mw,storage_ave_vap_mw,storage_key_component,storage_shi,storage_lfl,storage_temp_deg_c,storage_vapor_mol_composition,storage_shi_times_vapor_mol_composition,storage_total_vapor_moles,storage_shi_times_total_vapor_moles,storage_component_vapor_moles,storage_shi_times_component_vapor_moles,storage_total_moles,storage_shi_times_total_moles,storage_component_total_moles,storage_shi_times_component_total_moles,discharge_ave_vap_mw,discharge_key_component,discharge_shi,discharge_lfl,discharge_temp_deg_c,discharge_vapor_mol_composition,discharge_shi_times_vapor_mol_composition,discharge_total_vapor_moles,discharge_shi_times_total_vapor_moles,discharge_component_vapor_moles,discharge_shi_times_component_vapor_moles,discharge_total_moles,discharge_shi_times_total_moles,discharge_component_total_moles,discharge_shi_times_component_total_moles,release_duration_sec,weather,hazard_type,conc_low_ppm,area_conc_low_m2,conc_high_ppm,area_conc_high_m2,log_elev_m,log_ave_nbp_deg_k,log_overall_ave_mw,log_storage_ave_vap_mw,log_storage_shi,log_storage_lfl,log_storage_temp_deg_k,log_storage_vapor_mol_composition,log_storage_shi_times_total_vapor_moles,log_storage_component_vapor_moles,log_storage_shi_times_component_vapor_moles,log_storage_total_moles,log_storage_shi_times_total_moles,log_storage_component_total_moles,log_storage_shi_times_component_total_moles,log_discharge_ave_vap_mw,log_discharge_shi,log_discharge_lfl,log_discharge_temp_deg_k,log_discharge_vapor_mol_composition,log_discharge_shi_times_vapor_mol_composition,log_discharge_total_vapor_moles,log_discharge_shi_times_total_vapor_moles,log_discharge_component_vapor_moles,log_discharge_shi_times_component_vapor_moles,log_discharge_total_moles,log_discharge_shi_times_total_moles,log_discharge_component_total_moles,log_discharge_shi_times_component_total_moles,log_release_duration_sec,log_conc_low_ppm,log_area_conc_low_m2,log_conc_high_ppm,log_area_conc_high_m2,log_storage_key_component,log_discharge_key_component,log_weather,log_hazard_type
481,3556,6.0,110.743959,46.91536458,42.26340368,64-19-7,0.002307328,69344.283,46.0,0.576831962,0.00133094,0,0.0,0.0,0.0,1740.282757,4.015402869,1196.437754,2.760574149,42.26340573,64-19-7,0.002307328,69344.27713,45.99991769,0.576832011,0.001330941,0.0,0.0,0.0,0.0,1740.282757,4.015403209,1196.437754,2.760574382,3600.0,night,inhalation,433.4017448,454.2277263,4334.017448,33.14283286,0.7781512503836436,2.584211278062684,1.671315095583796,1.625964469997819,-2.636890663621672,4.84101066203658,2.503994848765824,-0.238950683559682,0.0,0.0,0.0,3.2406198171493634,0.6037291249587095,3.0778901088855015,0.4409994167792019,1.6259644910634123,-2.636890663621672,4.84101062527351,2.5039947367596094,-0.2389506466677791,-2.8758411961724772,0.0,0.0,0.0,0.0,3.2406198171493634,0.6037291617321348,3.0778901088855015,0.44099945343484115,3.5563025007672873,2.6368906553813227,2.6572736402570762,3.6368906553813227,1.5203896266809398,,,,
482,3556,6.0,110.743959,46.91536458,42.26340368,64-19-7,0.002307328,69344.283,46.0,0.576831962,0.00133094,0,0.0,0.0,0.0,1740.282757,4.015402869,1196.437754,2.760574149,42.26340573,64-19-7,0.002307328,69344.27713,45.99991769,0.576832011,0.001330941,0.0,0.0,0.0,0.0,1740.282757,4.015403209,1196.437754,2.760574382,3600.0,night,flash_fire,34672.13856,1.761656126,69344.27713,0.870281762,0.7781512503836436,2.584211278062684,1.671315095583796,1.625964469997819,-2.636890663621672,4.84101066203658,2.503994848765824,-0.238950683559682,0.0,0.0,0.0,3.2406198171493634,0.6037291249587095,3.0778901088855015,0.4409994167792019,1.6259644910634123,-2.636890663621672,4.84101062527351,2.5039947367596094,-0.2389506466677791,-2.8758411961724772,0.0,0.0,0.0,0.0,3.2406198171493634,0.6037291617321348,3.0778901088855015,0.44099945343484115,3.5563025007672873,4.5399806295469,0.2459211383805107,4.84101062527351,-0.06034011764480525,,,,
483,3555,3.84,-29.36901244,23.42915834,23.42915834,7664-41-7,0.000516536,75712.03606,371.0,0.774803409,0.000400214,2192.823116,1.132671217,1699.006826,0.877597521,2192.823116,1.132671217,1699.006826,0.877597521,23.42915834,7664-41-7,0.000516536,75712.03606,135.5580324,0.774803409,0.000400214,2192.823116,1.132671217,1699.006826,0.877597521,2192.823116,1.132671217,1699.006826,0.877597521,10.0,night,inhalation,1935.974961,89991.26787,19359.74961,17027.81511,0.5843312243675308,2.3869998320463,1.3697566874506073,1.3697566874506073,-3.286899404915883,4.879164925456905,2.808987011128131,-0.11080847712867305,0.0541038645285097,3.2301951237119995,-0.05670461220811879,3.341003600741187,0.0541038645285097,3.2301951237119995,-0.05670461220811879,1.3697566874506073,-3.286899404915883,4.879164925456905,2.61141317304978,-0.11080847712867305,-3.3977077232550292,3.341003600741187,0.0541038645285097,3.2301951237119995,-0.05670461220811879,3.341003600741187,0.0541038645285097,3.2301951237119995,-0.05670461220811879,1.0,3.2868997360457977,4.95420037055201,4.286899736045798,4.231158925910625,,,,
484,3555,3.84,-29.36901244,23.42915834,23.42915834,7664-41-7,0.000516536,75712.03606,371.0,0.774803409,0.000400214,2192.823116,1.132671217,1699.006826,0.877597521,2192.823116,1.132671217,1699.006826,0.877597521,23.42915834,7664-41-7,0.000516536,75712.03606,135.5580324,0.774803409,0.000400214,2192.823116,1.132671217,1699.006826,0.877597521,2192.823116,1.132671217,1699.006826,0.877597521,10.0,night,flash_fire,37856.01803,10967.62775,75712.03606,7218.766257,0.5843312243675308,2.3869998320463,1.3697566874506073,1.3697566874506073,-3.286899404915883,4.879164925456905,2.808987011128131,-0.11080847712867305,0.0541038645285097,3.2301951237119995,-0.05670461220811879,3.341003600741187,0.0541038645285097,3.2301951237119995,-0.05670461220811879,1.3697566874506073,-3.286899404915883,4.879164925456905,2.61141317304978,-0.11080847712867305,-3.3977077232550292,3.341003600741187,0.0541038645285097,3.2301951237119995,-0.05670461220811879,3.341003600741187,0.0541038645285097,3.2301951237119995,-0.05670461220811879,1.0,4.578134929792924,4.040112701731822,4.879164925456905,3.858462979624871,,,,
485,3554,3.84,-27.78574788,24.09925759,24.09925759,7664-41-7,0.000476522,74611.75275,371.0,0.714783445,0.00034061,2096.745089,0.999145786,1498.718678,0.714172867,2096.745089,0.999145786,1498.718678,0.714172867,24.09925759,7664-41-7,0.000476522,74611.75275,218.9625536,0.714783445,0.00034061,2096.745089,0.999145786,1498.718678,0.714172867,2096.745089,0.999145786,1498.718678,0.714172867,3600.0,night,inhalation,2098.53769,8258.312069,20985.3769,664.6943602,0.5843312243675308,2.3898112892878096,1.3820036637560875,1.3820036637560875,-3.321917044116854,4.872807242384882,2.808987011128131,-0.14582551468403132,-0.00037113896519191063,3.175720119800712,-0.1461966536336026,3.3215456344853957,-0.00037113896519191063,3.175720119800712,-0.1461966536336026,1.3820036637560875,-3.321917044116854,4.872807242384882,2.6920644438588495,-0.14582551468403132,-3.467742605695009,3.3215456344853957,-0.00037113896519191063,3.175720119800712,-0.1461966536336026,3.3215456344853957,-0.00037113896519191063,3.175720119800712,-0.1461966536336026,3.5563025007672873,3.321916773600895,3.916891290173935,4.321916773600895,2.822621993887109,,,,
486,3554,3.84,-27.78574788,24.09925759,24.09925759,7664-41-7,0.000476522,74611.75275,371.0,0.714783445,0.00034061,2096.745089,0.999145786,1498.718678,0.714172867,2096.745089,0.999145786,1498.718678,0.714172867,24.09925759,7664-41-7,0.000476522,74611.75275,218.9625536,0.714783445,0.00034061,2096.745089,0.999145786,1498.718678,0.714172867,2096.745089,0.999145786,1498.718678,0.714172867,3600.0,night,flash_fire,37305.87637,199.0019704,74611.75275,50.35582757,0.5843312243675308,2.3898112892878096,1.3820036637560875,1.3820036637560875,-3.321917044116854,4.872807242384882,2.808987011128131,-0.14582551468403132,-0.00037113896519191063,3.175720119800712,-0.1461966536336026,3.3215456344853957,-0.00037113896519191063,3.175720119800712,-0.1461966536336026,1.3820036637560875,-3.321917044116854,4.872807242384882,2.6920644438588495,-0.14582551468403132,-3.467742605695009,3.3215456344853957,-0.00037113896519191063,3.175720119800712,-0.1461966536336026,3.3215456344853957,-0.00037113896519191063,3.175720119800712,-0.1461966536336026,3.5563025007672873,4.571777246662693,2.298857376558504,4.872807242384882,1.7020497377504424,,,,
487,3552,6.0,110.743959,46.91536458,42.16553637,64-19-7,0.002298015,69625.29609,50.0,0.574503824,0.001320219,0,0.0,0.0,0.0,1740.282757,3.999196391,1196.437754,2.749432257,42.16553841,64-19-7,0.002298015,69625.29021,49.99991517,0.574503872,0.001320219,0.0,0.0,0.0,0.0,1740.282757,3.999196728,1196.437754,2.749432489,3600.0,night,inhalation,435.1580767,452.4676498,4351.580767,37.03096465,0.7781512503836436,2.584211278062684,1.671315095583796,1.6249576291751502,-2.6386471408366075,4.842767055075569,2.5094041602586916,-0.24070707622448334,0.0,0.0,0.0,3.2406198171493634,0.6019727318237765,3.0778901088855015,0.439243023609268,1.6249576501866396,-2.6386471408366075,4.8427670183985025,2.5094040462521754,-0.24070703993902556,-2.879354021367967,0.0,0.0,0.0,0.0,3.2406198171493634,0.6019727684204375,3.0778901088855015,0.4392430602554939,3.5563025007672873,2.638647048604502,2.655587533783018,3.638647048604502,1.5685650254903079,,,,
488,3552,6.0,110.743959,46.91536458,42.16553637,64-19-7,0.002298015,69625.29609,50.0,0.574503824,0.001320219,0,0.0,0.0,0.0,1740.282757,3.999196391,1196.437754,2.749432257,42.16553841,64-19-7,0.002298015,69625.29021,49.99991517,0.574503872,0.001320219,0.0,0.0,0.0,0.0,1740.282757,3.999196728,1196.437754,2.749432489,3600.0,night,flash_fire,34812.64511,2.291975085,69625.29021,0.931701286,0.7781512503836436,2.584211278062684,1.671315095583796,1.6249576291751502,-2.6386471408366075,4.842767055075569,2.5094041602586916,-0.24070707622448334,0.0,0.0,0.0,3.2406198171493634,0.6019727318237765,3.0778901088855015,0.439243023609268,1.6249576501866396,-2.6386471408366075,4.8427670183985025,2.5094040462521754,-0.24070703993902556,-2.879354021367967,0.0,0.0,0.0,0.0,3.2406198171493634,0.6019727684204375,3.0778901088855015,0.4392430602554939,3.5563025007672873,4.541737022796897,0.360209892306771,4.8427670183985025,-0.030723305066699375,,,,
489,3548,4.0,66.24434398,30.84122127,30.84122127,67-56-1,0.000182881,78521.21072,110.0,0.914402604,0.000167226,6605368.273,1207.993189,6039965.947,1104.592117,6605368.273,1207.993189,6039965.947,1104.592117,30.85921751,67-56-1,0.000183137,78411.19105,70.38819448,0.915685613,0.000167696,6559588.425,1201.304149,6006520.747,1100.016926,6605368.273,1209.688139,6039965.947,1106.141984,3600.0,night,inhalation,5460.389385,13.97713687,54603.89385,0.190303597,0.6020599913279624,2.5307046005074576,1.48913156718438,1.48913156718438,-3.7378314122041822,4.894986987374242,2.583368829892705,-0.03886254584416074,3.0820644856195045,6.78103449009933,3.04320193952534,6.819897036102411,3.0820644856195045,6.78103449009933,3.04320193952534,1.4893849095625924,-3.737223904346665,4.894378050750946,2.5359750288184624,-0.038253609274826975,-3.7754772963601972,6.816876590845347,3.079652977019482,6.778622981500108,3.041399367714449,6.819897036102411,3.082673422408794,6.78103449009933,3.043810876435259,3.5563025007672873,3.7372236137170236,1.1454182179828436,4.737223613717024,-0.7205530028717402,,,,
490,3548,4.0,66.24434398,30.84122127,30.84122127,67-56-1,0.000182881,78521.21072,110.0,0.914402604,0.000167226,6605368.273,1207.993189,6039965.947,1104.592117,6605368.273,1207.993189,6039965.947,1104.592117,30.85921751,67-56-1,0.000183137,78411.19105,70.38819448,0.915685613,0.000167696,6559588.425,1201.304149,6006520.747,1100.016926,6605368.273,1209.688139,6039965.947,1106.141984,3600.0,night,flash_fire,39205.59553,0.390788582,78411.19105,0.07617417,0.6020599913279624,2.5307046005074576,1.48913156718438,1.48913156718438,-3.7378314122041822,4.894986987374242,2.583368829892705,-0.03886254584416074,3.0820644856195045,6.78103449009933,3.04320193952534,6.819897036102411,3.0820644856195045,6.78103449009933,3.04320193952534,1.4893849095625924,-3.737223904346665,4.894378050750946,2.5359750288184624,-0.038253609274826975,-3.7754772963601972,6.816876590845347,3.079652977019482,6.778622981500108,3.041399367714449,6.819897036102411,3.082673422408794,6.78103449009933,3.043810876435259,3.5563025007672873,4.593348055142352,-0.4080581339165092,4.894378050750946,-1.1181922691877804,,,,
491,3546,6.0,114.256441,53.77776787,50.79356607,64-19-7,0.003119015,51298.25206,45.0,0.779753655,0.002432063,0,0.0,0.0,0.0,438.024874,1.366205986,372.6470392,1.162291564,50.79356708,64-19-7,0.003119015,51298.25048,44.999943,0.779753679,0.002432063,0.0,0.0,0.0,0.0,438.024874,1.366206028,372.6470392,1.1622916,3600.0,night,inhalation,320.6140691,2560.958066,3206.140691,68.37565312,0.7781512503836436,2.588166837001326,1.730602772192603,1.7058087044638814,-2.505982536624208,4.710102567185311,2.502631927572243,-0.10804258086371875,0.0,0.0,0.0,2.6414987733676014,0.1355161838542054,2.5712976749713135,0.06531508567300921,1.70580871309957,-2.505982536624208,4.710102553808924,2.502631849763701,-0.10804256749659014,-2.614025179317895,0.0,0.0,0.0,0.0,2.6414987733676014,0.13551619720531652,2.5712976749713135,0.06531509912454034,3.5563025007672873,2.5059825760294543,3.4084024672408213,3.5059825760294543,1.834901487715269,,,,
492,3546,6.0,114.256441,53.77776787,50.79356607,64-19-7,0.003119015,51298.25206,45.0,0.779753655,0.002432063,0,0.0,0.0,0.0,438.024874,1.366205986,372.6470392,1.162291564,50.79356708,64-19-7,0.003119015,51298.25048,44.999943,0.779753679,0.002432063,0.0,0.0,0.0,0.0,438.024874,1.366206028,372.6470392,1.1622916,3600.0,night,flash_fire,25649.12524,1.352996883,51298.25048,0.44678004,0.7781512503836436,2.588166837001326,1.730602772192603,1.7058087044638814,-2.505982536624208,4.710102567185311,2.502631927572243,-0.10804258086371875,0.0,0.0,0.0,2.6414987733676014,0.1355161838542054,2.5712976749713135,0.06531508567300921,1.70580871309957,-2.505982536624208,4.710102553808924,2.502631849763701,-0.10804256749659014,-2.614025179317895,0.0,0.0,0.0,0.0,2.6414987733676014,0.13551619720531652,2.5712976749713135,0.06531509912454034,3.5563025007672873,4.409072558144943,0.13129679608213196,4.710102553808924,-0.3499062373278921,,,,
